Tarvisio;Mazara;PassoGries;MaxFlowGate
83024.1;67811.5;3969.2;Tarvisio
90782.6;66458.2;5567.8;Tarvisio
79727.3;67424.5;7336.4;Tarvisio
67399.3;72031.4;7428.1;Mazara
64327.6;71140.0;7676.4;Mazara
53689.8;66001.8;22808.0;Mazara
52587.1;63976.8;19761.8;Mazara
43821.3;70072.0;28028.8;Mazara
41932.2;72816.8;14623.7;Mazara
41211.5;72785.1;21486.4;Mazara
46408.2;72278.8;21943.1;Mazara
50405.3;71280.1;27489.9;Mazara
54245.8;71655.9;27139.4;Mazara
53995.7;71120.4;26930.3;Mazara
68502.5;71465.0;28002.8;Mazara
62634.2;69363.1;27621.1;Mazara
50878.9;69488.0;27621.0;Mazara
54863.8;71464.2;27473.4;Mazara
46861.1;72266.7;27295.3;Mazara
43979.6;72201.6;19322.5;Mazara
41472.4;70955.3;20782.7;Mazara
44700.9;71411.2;27019.1;Mazara
43693.7;72287.7;26816.0;Mazara
52303.6;71196.7;27573.5;Mazara
90617.7;36341.4;33012.7;Tarvisio
57713.9;69262.6;28450.5;Mazara
41725.5;69929.2;26699.8;Mazara
38471.4;69426.8;27796.9;Mazara
44357.5;70960.6;27806.2;Mazara
50609.3;72552.4;28358.6;Mazara
54082.2;71269.0;28460.9;Mazara
69182.8;72744.0;14777.1;Mazara
75796.8;72148.7;10176.8;Tarvisio
77417.0;72053.1;7944.7;Tarvisio
76873.2;72570.0;7949.2;Tarvisio
91341.2;72483.5;12720.3;Tarvisio
93289.2;72741.4;12229.5;Tarvisio
93811.0;72721.9;11603.0;Tarvisio
89495.1;71998.2;12449.8;Tarvisio
88872.9;72593.8;12537.7;Tarvisio
73189.1;71025.4;7458.0;Tarvisio
70609.8;71809.9;7504.8;Mazara
89900.5;70979.8;10450.4;Tarvisio
98565.3;70440.7;10065.8;Tarvisio
104225.4;70390.1;9452.4;Tarvisio
114985.3;69884.8;10983.0;Tarvisio
109616.1;69849.0;16866.7;Tarvisio
74984.5;70133.8;5108.5;Tarvisio
75120.6;70537.1;5182.9;Tarvisio
106900.8;71066.2;10586.8;Tarvisio
116943.9;71451.6;14854.1;Tarvisio
117157.0;66378.0;19745.1;Tarvisio
114918.6;66423.3;30185.8;Tarvisio
116649.5;63520.9;29718.6;Tarvisio
100767.5;71497.7;8437.3;Tarvisio
101479.9;68840.6;5225.4;Tarvisio
119145.7;71484.9;32371.2;Tarvisio
119310.8;75927.7;31723.7;Tarvisio
118511.1;77249.9;30076.0;Tarvisio
114252.8;73855.5;23801.6;Tarvisio
111451.3;71392.9;19372.2;Tarvisio
97970.5;71645.8;3338.5;Tarvisio
82803.6;71794.4;1220.0;Tarvisio
112398.7;72217.9;17442.3;Tarvisio
105067.4;71687.2;7571.9;Tarvisio
99596.8;72159.4;6455.6;Tarvisio
85905.3;71592.1;4372.0;Tarvisio
74047.2;68504.0;2196.2;Tarvisio
75226.7;67736.9;3575.0;Tarvisio
72093.0;68172.3;3756.0;Tarvisio
66836.4;68804.8;1914.8;Mazara
72503.2;68267.7;137.6;Tarvisio
76003.6;68621.9;0.0;Tarvisio
86373.8;68154.2;0.0;Tarvisio
93458.6;68098.4;0.0;Tarvisio
75569.5;68345.2;0.0;Tarvisio
72391.7;68225.0;0.0;Tarvisio
96904.6;72730.3;19963.4;Tarvisio
96055.9;72067.7;28485.5;Tarvisio
96364.7;70662.2;25742.5;Tarvisio
93745.6;71927.8;28107.3;Tarvisio
96998.3;68829.0;5556.7;Tarvisio
82031.9;67759.0;1768.6;Tarvisio
83970.7;66392.0;1823.6;Tarvisio
95044.0;64992.9;4894.0;Tarvisio
84929.2;66027.9;8777.6;Tarvisio
85561.8;68435.9;7927.3;Tarvisio
93531.3;67548.8;8960.3;Tarvisio
81315.3;65633.2;17304.5;Tarvisio
86424.8;63228.5;16908.1;Tarvisio
95454.7;40142.9;22825.1;Tarvisio
98501.1;38056.4;23824.3;Tarvisio
105927.9;38688.4;35151.4;Tarvisio
112103.7;38386.5;39307.5;Tarvisio
108009.3;44041.6;34725.6;Tarvisio
110207.9;44875.9;38988.7;Tarvisio
106503.5;38485.9;41447.5;Tarvisio
107094.2;38060.2;41424.8;Tarvisio
109966.2;38528.6;42314.4;Tarvisio
111269.9;38390.4;39166.3;Tarvisio
113279.6;39015.7;41052.1;Tarvisio
113836.4;38777.1;43302.3;Tarvisio
113255.4;38523.9;41395.9;Tarvisio
112836.9;38893.3;40326.3;Tarvisio
106441.5;38874.3;42590.2;Tarvisio
112214.4;39280.6;40087.7;Tarvisio
110276.2;51113.4;7448.6;Tarvisio
111061.0;52025.5;9305.1;Tarvisio
110446.8;47473.3;3042.3;Tarvisio
102523.0;37831.6;42893.7;Tarvisio
103689.1;34981.1;35117.1;Tarvisio
103640.5;33143.5;39865.9;Tarvisio
103718.3;34082.1;40396.0;Tarvisio
111720.7;40296.9;7265.9;Tarvisio
109876.5;38778.7;10292.5;Tarvisio
108570.3;40474.3;17817.1;Tarvisio
103010.0;36009.2;38100.7;Tarvisio
102522.1;35500.1;41769.7;Tarvisio
101855.3;36173.6;41291.2;Tarvisio
101391.5;36068.4;35525.1;Tarvisio
96496.5;37762.7;31038.8;Tarvisio
93479.7;31913.0;47251.8;Tarvisio
96191.9;30703.3;45915.1;Tarvisio
96567.0;30826.0;47080.9;Tarvisio
96806.0;27806.0;47495.3;Tarvisio
97361.9;27480.1;47190.4;Tarvisio
102248.5;26293.6;47153.4;Tarvisio
104322.9;27695.7;46381.6;Tarvisio
106724.4;26651.4;47146.3;Tarvisio
105360.3;28073.8;47204.7;Tarvisio
104427.3;28221.2;46931.3;Tarvisio
104198.8;28534.9;42875.1;Tarvisio
104024.3;28298.3;42579.9;Tarvisio
104078.2;28410.2;43215.3;Tarvisio
107000.6;27478.0;45151.0;Tarvisio
104516.0;28036.2;42628.7;Tarvisio
104966.8;28192.8;44731.4;Tarvisio
103505.5;28269.4;44274.3;Tarvisio
103263.9;27923.6;44759.0;Tarvisio
100224.2;27978.0;44936.7;Tarvisio
74545.5;35372.7;47282.8;Tarvisio
74828.7;36738.2;42815.3;Tarvisio
76388.7;36293.6;43407.2;Tarvisio
75151.1;35955.6;43322.8;Tarvisio
75278.9;35747.1;42136.3;Tarvisio
95589.5;28808.8;24440.7;Tarvisio
95058.6;27602.6;17305.1;Tarvisio
100010.0;30858.7;28833.0;Tarvisio
103886.1;28010.0;45069.2;Tarvisio
103760.8;35125.9;36441.6;Tarvisio
104990.7;35791.3;39366.1;Tarvisio
103733.9;37974.5;30532.6;Tarvisio
95238.9;33073.4;21056.3;Tarvisio
96699.5;30365.9;21474.4;Tarvisio
99135.4;38457.1;31141.3;Tarvisio
98998.9;37647.4;39124.3;Tarvisio
98970.9;37259.7;36528.3;Tarvisio
98233.6;38204.3;36197.0;Tarvisio
98585.7;37465.1;36307.6;Tarvisio
90811.5;31630.3;36524.9;Tarvisio
91109.7;28363.0;36588.7;Tarvisio
90084.3;37926.5;40978.6;Tarvisio
90722.7;37981.1;41349.3;Tarvisio
90476.5;37709.6;42734.6;Tarvisio
88859.0;37754.9;43616.7;Tarvisio
67367.0;38230.0;44444.5;Tarvisio
67702.0;38537.8;44572.0;Tarvisio
67497.0;38676.6;44335.3;Tarvisio
67972.3;38315.6;43014.7;Tarvisio
67797.7;36563.2;44636.4;Tarvisio
67565.2;37305.5;44420.5;Tarvisio
67245.8;36889.7;43680.7;Tarvisio
96466.3;36483.9;30676.1;Tarvisio
99356.8;27158.2;30792.5;Tarvisio
98434.1;26643.7;30778.6;Tarvisio
99927.7;35265.1;30824.6;Tarvisio
83474.8;38057.6;30898.6;Tarvisio
91018.8;37215.5;30588.2;Tarvisio
102653.3;37902.8;30247.3;Tarvisio
103111.1;37978.1;23494.3;Tarvisio
101133.0;31510.7;20462.2;Tarvisio
101697.8;25771.4;22054.2;Tarvisio
96801.1;42578.2;21806.1;Tarvisio
70601.1;50720.6;24952.8;Tarvisio
95633.4;38751.6;24543.9;Tarvisio
98629.6;42372.9;25580.3;Tarvisio
97738.4;41596.5;28883.1;Tarvisio
101030.5;33738.0;30433.3;Tarvisio
94634.2;30106.9;27203.9;Tarvisio
91031.1;37449.9;16742.0;Tarvisio
89964.2;41113.3;16554.7;Tarvisio
91231.6;40834.8;17455.9;Tarvisio
91376.8;37783.8;19409.9;Tarvisio
92011.0;35711.4;19765.2;Tarvisio
99986.8;34731.0;24222.4;Tarvisio
101068.1;33681.4;24254.1;Tarvisio
101301.5;38030.2;27800.7;Tarvisio
101807.7;37155.4;25756.3;Tarvisio
103987.1;35960.2;25548.8;Tarvisio
104666.8;36523.5;25637.7;Tarvisio
103900.0;36925.1;25836.3;Tarvisio
98306.0;34012.3;24841.8;Tarvisio
88529.3;31114.5;27615.6;Tarvisio
103465.4;36584.6;26769.4;Tarvisio
102614.0;36687.3;27210.5;Tarvisio
102642.7;37486.9;27487.5;Tarvisio
102997.4;37407.3;30192.9;Tarvisio
102531.2;35955.7;36574.2;Tarvisio
92028.5;32413.1;31123.3;Tarvisio
88847.1;27567.1;28826.2;Tarvisio
101855.0;37600.2;42757.1;Tarvisio
102407.3;38186.6;40411.7;Tarvisio
103332.8;29272.4;42323.5;Tarvisio
103433.2;28331.6;43497.7;Tarvisio
102584.8;28319.9;43248.9;Tarvisio
91000.5;28144.0;29144.1;Tarvisio
89670.2;28561.3;25248.4;Tarvisio
89473.3;28501.6;11.3;Tarvisio
89251.9;28595.8;12.1;Tarvisio
89630.9;25650.6;13.3;Tarvisio
102892.3;24403.7;13.9;Tarvisio
102810.8;27954.2;13.2;Tarvisio
96428.1;26347.2;10.4;Tarvisio
97830.9;26404.2;8.8;Tarvisio
94286.4;26762.9;10.5;Tarvisio
92632.5;28588.1;9.4;Tarvisio
89856.6;28294.3;8.5;Tarvisio
91043.0;28281.4;8.7;Tarvisio
89296.4;28452.4;488.3;Tarvisio
85867.3;27436.8;9863.7;Tarvisio
86790.1;27547.2;10233.0;Tarvisio
87235.0;28588.6;22141.9;Tarvisio
87723.9;28080.0;28241.9;Tarvisio
87515.1;29082.8;28591.3;Tarvisio
85952.4;29226.3;29094.3;Tarvisio
84632.1;28816.5;26222.7;Tarvisio
84949.7;26890.9;11972.7;Tarvisio
79687.6;26773.6;8115.4;Tarvisio
88285.9;27236.4;22829.4;Tarvisio
93042.3;27125.9;31829.2;Tarvisio
97385.6;27323.2;33138.5;Tarvisio
97645.1;27256.1;36677.0;Tarvisio
94913.1;28113.1;34454.9;Tarvisio
85878.8;28894.0;14362.3;Tarvisio
86580.1;25328.8;12449.5;Tarvisio
96607.1;0.0;31874.1;Tarvisio
100200.6;27031.5;32233.3;Tarvisio
101876.7;26908.4;37498.9;Tarvisio
100986.2;30796.1;34370.2;Tarvisio
96702.3;26548.2;27459.0;Tarvisio
82493.8;29301.9;8544.5;Tarvisio
79571.9;27173.4;9066.5;Tarvisio
100912.1;27491.1;32876.3;Tarvisio
102355.4;27910.3;31841.4;Tarvisio
100040.7;27401.7;29090.3;Tarvisio
103598.0;27343.6;33415.7;Tarvisio
102078.3;29016.0;30778.9;Tarvisio
89392.7;31464.1;14046.4;Tarvisio
87561.0;29471.4;13086.4;Tarvisio
104735.6;30029.5;34774.0;Tarvisio
102885.0;30309.3;38169.7;Tarvisio
104360.0;30605.0;33678.3;Tarvisio
102678.0;29841.8;37068.1;Tarvisio
95632.9;29804.6;35585.4;Tarvisio
86656.7;31514.3;9036.8;Tarvisio
85406.7;29393.9;6583.8;Tarvisio
99218.7;31853.7;30054.7;Tarvisio
32981.6;48402.2;42946.0;Mazara
32714.9;50067.2;42314.0;Mazara
32121.7;49587.8;43725.0;Mazara
32740.8;48445.6;43008.1;Mazara
32787.7;48768.9;24464.0;Mazara
32672.3;48836.8;21168.1;Mazara
33007.7;55234.1;19835.0;Mazara
32615.7;55732.6;27470.9;Mazara
32613.1;57692.0;32258.6;Mazara
32887.5;55510.5;20769.7;Mazara
31269.8;55732.2;21434.2;Mazara
39094.9;54623.4;17442.2;Mazara
43363.7;54550.4;16168.5;Mazara
42089.6;55545.3;20429.9;Mazara
42976.2;55133.6;20746.2;Mazara
42595.1;54495.0;19771.1;Mazara
42893.8;55145.5;20381.7;Mazara
43399.4;55559.9;21327.7;Mazara
42671.8;55552.4;14553.3;Mazara
43613.9;55438.4;12130.7;Mazara
37477.8;55702.2;18180.3;Mazara
35194.4;54032.4;20388.3;Mazara
42269.1;55228.4;19658.8;Mazara
45405.5;55270.0;19238.6;Mazara
46993.8;54884.9;12001.1;Mazara
33739.6;54371.2;6800.7;Mazara
33974.1;54753.1;7035.7;Mazara
49535.1;55296.7;14747.9;Mazara
45436.2;55051.7;19522.8;Mazara
46931.1;54936.9;18746.5;Mazara
49046.8;55595.4;18603.6;Mazara
49486.4;54655.8;16590.1;Mazara
43770.7;54653.0;15888.0;Mazara
42759.7;54433.3;13234.5;Mazara
49251.9;55108.8;11705.1;Mazara
50949.2;53619.4;9687.8;Mazara
56912.9;55365.7;17550.8;Tarvisio
36967.4;55537.4;1862.1;Mazara
40382.6;55456.3;3127.7;Mazara
39176.2;54274.8;1861.5;Mazara
38738.4;54495.4;1832.4;Mazara
52373.6;54516.1;1617.5;Mazara
49367.3;47764.2;984.5;Tarvisio
54265.7;47366.2;1027.1;Tarvisio
52825.6;48796.6;963.0;Tarvisio
49549.3;56693.9;976.2;Mazara
34157.0;43913.6;994.4;Mazara
39446.4;36759.6;1383.9;Tarvisio
49451.0;46668.0;1506.9;Tarvisio
52478.0;55228.2;970.7;Mazara
53250.6;55888.4;423.1;Mazara
53276.0;55206.2;0.0;Mazara
62364.6;54874.6;0.0;Tarvisio
55286.8;55125.1;1330.9;Tarvisio
54055.7;55950.6;1669.3;Mazara
80149.6;59618.9;9386.0;Tarvisio
98370.5;60313.3;10827.3;Tarvisio
89714.1;57011.9;5184.4;Tarvisio
90039.8;59107.1;1493.4;Tarvisio
81399.0;55676.2;1152.0;Tarvisio
58834.0;53946.3;0.0;Tarvisio
53298.6;48087.7;0.0;Tarvisio
79626.6;54744.9;1576.7;Tarvisio
75059.6;54520.5;0.0;Tarvisio
82821.5;54401.0;1048.0;Tarvisio
83412.9;52526.4;1659.2;Tarvisio
92246.5;53767.1;11724.5;Tarvisio
70122.4;53562.2;5486.9;Tarvisio
64822.2;53549.6;5358.3;Tarvisio
85125.8;54293.5;6922.8;Tarvisio
85731.0;56964.0;4974.0;Tarvisio
85002.7;56187.6;2635.5;Tarvisio
87987.2;55734.7;8309.0;Tarvisio
85687.3;54223.3;7815.8;Tarvisio
68878.0;46238.0;5010.8;Tarvisio
69764.4;47642.3;6284.9;Tarvisio
83072.2;52982.9;6259.8;Tarvisio
90172.7;54552.2;10798.3;Tarvisio
91290.8;55797.2;29492.4;Tarvisio
90712.2;55873.9;34682.6;Tarvisio
93699.8;58839.7;30021.1;Tarvisio
95589.5;55720.3;6681.2;Tarvisio
92275.3;55578.5;6731.3;Tarvisio
98337.9;55786.8;24635.6;Tarvisio
98317.5;59878.0;29268.9;Tarvisio
98788.6;59486.9;33103.0;Tarvisio
105354.0;55671.8;21902.2;Tarvisio
92318.7;55481.5;21045.3;Tarvisio
73851.1;54994.3;11544.2;Tarvisio
70464.8;53619.3;10289.7;Tarvisio
69681.6;51533.6;6894.4;Tarvisio
66652.6;50815.8;1366.4;Tarvisio
69318.8;51428.9;730.7;Tarvisio
81515.5;54703.4;1320.8;Tarvisio
81617.2;54376.1;1537.5;Tarvisio
66601.7;53628.3;5469.5;Tarvisio
67335.6;52944.4;5763.6;Tarvisio
72923.7;53009.5;5567.3;Tarvisio
61287.0;53061.0;3010.3;Tarvisio
73937.2;57391.7;2686.0;Tarvisio
79520.6;54513.0;15011.7;Tarvisio
98475.5;57232.0;19056.7;Tarvisio
91699.0;51993.4;5779.7;Tarvisio
68385.3;52911.7;5843.0;Tarvisio
100327.0;61224.5;19223.5;Tarvisio
101533.3;61700.3;30811.7;Tarvisio
110037.4;62581.1;26988.6;Tarvisio
109768.4;62365.3;31540.6;Tarvisio
115453.8;62507.7;32906.0;Tarvisio
85262.2;55853.5;21086.0;Tarvisio
71720.0;54008.1;20098.6;Tarvisio
88005.3;55668.7;26278.0;Tarvisio
89232.3;53315.0;26228.5;Tarvisio
89034.0;53560.8;26184.2;Tarvisio
90468.7;52515.7;26300.9;Tarvisio
96140.0;56050.0;6112.1;Tarvisio
78412.3;58961.0;6688.5;Tarvisio
73365.3;56698.9;5058.4;Tarvisio
100776.1;61990.5;25406.1;Tarvisio
110380.6;53140.5;26151.9;Tarvisio
113952.6;60724.4;30777.5;Tarvisio
111262.6;61413.2;27715.6;Tarvisio
104491.6;57518.3;34667.1;Tarvisio
74613.2;56048.5;23797.7;Tarvisio
63554.0;55760.3;24529.9;Tarvisio
84879.9;55640.6;30893.3;Tarvisio
94652.8;57542.7;31546.9;Tarvisio
101843.8;57795.8;30875.9;Tarvisio
95119.6;57169.2;30171.2;Tarvisio
97415.6;57327.5;26187.5;Tarvisio
91147.0;43144.1;12705.2;Tarvisio
86835.8;41206.3;12133.0;Tarvisio
